Dataset = 107650, Efficiency: 0.651634993179
Dataset = 107651, Efficiency: 0.696521061076
Dataset = 107652, Efficiency: 0.718311668103
Dataset = 107653, Efficiency: 0.733222972113
Dataset = 107654, Efficiency: 0.744731928514
Dataset = 107655, Efficiency: 0.745885231317
Dataset = 107660, Efficiency: 0.582553886457
Dataset = 107661, Efficiency: 0.674941560777
Dataset = 107662, Efficiency: 0.712649113859
Dataset = 107663, Efficiency: 0.743874711243
Dataset = 107664, Efficiency: 0.76082460471
Dataset = 107665, Efficiency: 0.786450515361
Dataset = 106052, Efficiency: 0.060140601406
Dataset = 116250, Efficiency: 0.0194267391702
Dataset = 116251, Efficiency: 0.174478228979
Dataset = 116252, Efficiency: 0.136716812035
Dataset = 116253, Efficiency: 0.192250233427
Dataset = 116254, Efficiency: 0.229329797613
Dataset = 116255, Efficiency: 0.259129564782
Dataset = 116260, Efficiency: 0.0287817704119
Dataset = 116261, Efficiency: 0.214975491013
Dataset = 116262, Efficiency: 0.168673879295
Dataset = 116263, Efficiency: 0.235655833372
Dataset = 116264, Efficiency: 0.276357907372
Dataset = 116265, Efficiency: 0.31112444978
Dataset = 107055, Efficiency: 0.0012741210415
Dataset = 105921, Efficiency: 0.72618193078
Dataset = 105922, Efficiency: 0.74167982852
Dataset = 105923, Efficiency: 0.229560593418
Dataset = 105924, Efficiency: 0.771344517658
Dataset = 105925, Efficiency: 0.756427742721
Dataset = 105926, Efficiency: 0.237962586132
Dataset = 105927, Efficiency: 0.0720248755517
Dataset = 105928, Efficiency: 0.228966203544
Dataset = 105929, Efficiency: 0.228642428413
Dataset = 106011, Efficiency: 0.76275255051
Dataset = 106012, Efficiency: 0.815581558156
Dataset = 106013, Efficiency: 0.26678003401
Dataset = 106014, Efficiency: 0.861372274455
Dataset = 106015, Efficiency: 0.816863372675
Dataset = 106016, Efficiency: 0.276983094928
Dataset = 106017, Efficiency: 0.209341868374
Dataset = 106018, Efficiency: 0.264579373812
Dataset = 106019, Efficiency: 0.271654330866
Dataset = 105940, Efficiency: 0.116353715294
Dataset = 105941, Efficiency: 0.947502025385
Dataset = 105942, Efficiency: 0.789385775862
Dataset = 105970, Efficiency: 0.120083704459
Dataset = 105971, Efficiency: 0.954604427386
Dataset = 105972, Efficiency: 0.789475819539
Dataset = 106024, Efficiency: 0.821259673259
Dataset = 106025, Efficiency: 0.394989851512
Dataset = 106026, Efficiency: 0.172484158522
Dataset = 106027, Efficiency: 0.824509963621
Dataset = 106028, Efficiency: 0.412695848813
Dataset = 106029, Efficiency: 0.174766708021
Dataset = 113190, Efficiency: 0.108203563975
Dataset = 113191, Efficiency: 0.114570361146
Dataset = 105930, Efficiency: 0.79466130884
Dataset = 105931, Efficiency: 0.990985060958
Dataset = 105932, Efficiency: 0.784223335719
Dataset = 106036, Efficiency: 0.861805753347
Dataset = 106037, Efficiency: 0.280029900523
Dataset = 113192, Efficiency: 0.0797763067793
Dataset = 113193, Efficiency: 0.120517814183
Dataset = 116600, Efficiency: 0.956988089009
Dataset = 106001, Efficiency: 0.231669266771
Dataset = 107680, Efficiency: 0.0290931508752
Dataset = 107681, Efficiency: 0.063769698861
Dataset = 107682, Efficiency: 0.090671822008
Dataset = 107683, Efficiency: 0.113153203122
Dataset = 107684, Efficiency: 0.134086261201
Dataset = 107685, Efficiency: 0.156133403857
Dataset = 107690, Efficiency: 0.0241019812377
Dataset = 106002, Efficiency: 0.250125012501
Dataset = 106003, Efficiency: 0.394182483616
Dataset = 108288, Efficiency: 0.211221122112
Dataset = 108289, Efficiency: 0.21717737419
Dataset = 108290, Efficiency: 0.373809904792
Dataset = 118615, Efficiency: 0.232839703822
Dataset = 118616, Efficiency: 0.46899379876
Dataset = 118617, Efficiency: 0.230723072307
Dataset = 118618, Efficiency: 0.491898379676
Dataset = 107692, Efficiency: 0.0865843789551
Dataset = 107693, Efficiency: 0.110555770164
Dataset = 107694, Efficiency: 0.132572710973
Dataset = 107695, Efficiency: 0.156579662083
Dataset = 106022, Efficiency: 0.017399395814
Dataset = 105200, Efficiency: 0.274530378385
Dataset = 117360, Efficiency: 0.166769472985
Dataset = 117361, Efficiency: 0.176094236531
Dataset = 117362, Efficiency: 0.0579392457731
Dataset = 108343, Efficiency: 0.171187569192
Dataset = 108344, Efficiency: 0.177843945339
Dataset = 108345, Efficiency: 0.0591059981234
Dataset = 105500, Efficiency: 0.144187054919
Dataset = 107691, Efficiency: 0.0591083852435
Dataset = 106046, Efficiency: 0.687242452611
Dataset = 105148, Efficiency: 0.0426688588135
Dataset = 108320, Efficiency: 0.0822873012472
Dataset = 113700, Efficiency: 0.0129283574775
Dataset = 113701, Efficiency: 0.268574617506
Dataset = 106047, Efficiency: 0.639519276354
Dataset = 116707, Efficiency: 0.43632250037
Dataset = 125008, Efficiency: 0.467779044875
